state,collection_date,Inpatient Beds Occupied Estimated (All Inpatient),Count LL (All Inpatient),Count UL (All Inpatient),Percentage of Inpatient Beds Occupied Estimated (All Inpatient),Percentage LL (All Inpatient),Percentage UL (All Inpatient),Total Inpatient Beds (All Inpatient),Total LL (All Inpatient),Total UL (All Inpatient),Inpatient Beds Occupied by COVID-19 Patients Estimated (COVID-19 Inpatient),Count LL (COVID-19 Inpatient),Count UL (COVID-19 Inpatient),Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated (COVID-19 Inpatient),Percentage LL (COVID-19 Inpatient),Percentage UL (COVID-19 Inpatient),Total Inpatient Beds (COVID-19 Inpatient),Total LL (COVID-19 Inpatient),Total UL (COVID-19 Inpatient),Staffed Adult ICU Beds Occupied Estimated (ICU),Count LL (ICU),Count UL (ICU),Percentage of Staffed Adult ICU Beds Occupied Estimated (ICU),Percentage LL (ICU),Percentage UL (ICU),Total Staffed Adult ICU Beds (ICU),Total LL (ICU),Total UL (ICU),geocoded_state
MD,2020/11/22,"7,910","7,910","7,910",80.15,80.15,80.15,"9,869","9,869","9,869","1,690","1,685","1,694",17.12,17.12,17.12,"9,869","9,869","9,869",994,994,994,76.76,76.76,76.76,"1,295","1,295","1,295",POINT (-76.687282 38.946466)
MI,2020/11/22,"16,250","16,208","16,292",75.47,74.83,76.11,"21,532","21,475","21,588","4,004","3,999","4,010",18.6,18.34,18.85,"21,532","21,475","21,588","2,123","2,120","2,126",79.96,79.64,80.28,"2,655","2,652","2,658",POINT (-85.730977 44.874798)
AL,2020/11/23,"10,236","10,225","10,248",72.55,72.22,72.87,"14,110","14,089","14,131","1,517","1,516","1,518",10.75,10.65,10.85,"14,110","14,089","14,131","1,308","1,308","1,308",86.85,86.85,86.85,"1,506","1,506","1,506",POINT (-86.844516 32.756889)
AZ,2020/11/23,"9,697","9,683","9,711",71.86,71.54,72.18,"13,495","13,479","13,511","2,116","2,114","2,118",15.7,15.59,15.82,"13,495","13,479","13,511","1,242","1,241","1,243",62.51,62.35,62.66,"1,987","1,986","1,988",POINT (-111.664616 34.293239)
CA,2020/11/23,"43,466","43,425","43,508",70.28,70.1,70.46,"61,848","61,789","61,907","6,602","6,599","6,605",10.67,10.62,10.73,"61,848","61,789","61,907","5,275","5,270","5,280",72.63,72.41,72.85,"7,263","7,257","7,269",POINT (-119.662127 37.211164)
CT,2020/11/23,"5,764","5,764","5,764",70.54,70.54,70.54,"8,171","8,171","8,171","1,099","1,099","1,099",13.45,13.45,13.45,"8,171","8,171","8,171",598,598,598,56.68,56.68,56.68,"1,055","1,055","1,055",POINT (-72.738288 41.575155)
DC,2020/11/23,"2,297","2,297","2,297",78.58,78.58,78.58,"2,923","2,923","2,923",229,229,229,7.83,7.83,7.83,"2,923","2,923","2,923",255,255,255,77.51,77.51,77.51,329,329,329,POINT (-77.016275 38.904785)
GA,2020/11/23,"14,370","14,360","14,379",76.32,76.09,76.56,"18,827","18,805","18,849","2,248","2,241","2,256",11.94,11.69,12.2,"18,827","18,805","18,849","2,162","2,161","2,162",82,81.8,82.2,"2,636","2,633","2,639",POINT (-83.426574 32.638481)
ID,2020/11/23,"1,798","1,797","1,799",58.3,57.33,59.28,"3,084","3,064","3,104",446,446,446,14.46,13.98,14.95,"3,084","3,064","3,104",213,213,213,72.2,72.2,72.2,295,295,295,POINT (-114.659366 44.389073)
IN,2020/11/23,"10,731","10,731","10,731",64.96,64.96,64.96,"16,519","16,519","16,519","3,243","3,242","3,244",19.63,19.63,19.63,"16,519","16,519","16,519","1,637","1,636","1,638",76.14,76.14,76.14,"2,150","2,150","2,150",POINT (-86.2818 39.919991)
KS,2020/11/23,"4,431","4,418","4,444",59.08,58.43,59.73,"7,500","7,478","7,522","1,204","1,200","1,209",16.06,15.69,16.43,"7,500","7,478","7,522",601,599,603,75.6,74.92,76.27,795,795,795,POINT (-98.38018 38.484729)
LA,2020/11/23,"8,424","8,420","8,429",66.41,66.41,66.41,"12,686","12,686","12,686",954,949,960,7.66,7.66,7.66,"12,686","12,686","12,686","1,277","1,276","1,278",71.02,71.02,71.02,"1,798","1,798","1,798",POINT (-91.840238 30.921314)
MD,2020/11/23,"8,029","8,029","8,029",80.12,80.12,80.12,"10,021","10,021","10,021","1,730","1,730","1,730",17.26,17.26,17.26,"10,021","10,021","10,021","1,005","1,005","1,005",76.02,76.02,76.02,"1,322","1,322","1,322",POINT (-76.687282 38.946466)
MI,2020/11/23,"16,576","16,574","16,578",77.12,77.12,77.12,"21,493","21,493","21,493","4,159","4,159","4,159",19.35,19.35,19.35,"21,493","21,493","21,493","2,187","2,187","2,187",81.97,81.97,81.97,"2,668","2,668","2,668",POINT (-85.730977 44.874798)
AL,2020/11/24,"10,530","10,454","10,607",74.36,72.67,76.05,"14,162","14,069","14,255","1,527","1,526","1,528",10.78,10.35,11.21,"14,162","14,069","14,255","1,312","1,304","1,320",87,85.52,88.49,"1,508","1,500","1,516",POINT (-86.844516 32.756889)
AZ,2020/11/24,"10,116","10,116","10,116",74.09,74.09,74.09,"13,654","13,654","13,654","2,237","2,237","2,237",16.41,16.41,16.41,"13,654","13,654","13,654","1,314","1,314","1,314",65.67,65.67,65.67,"2,001","2,000","2,002",POINT (-111.664616 34.293239)
CA,2020/11/24,"45,189","45,165","45,213",72.41,72.41,72.41,"62,403","62,368","62,438","6,926","6,910","6,943",11.1,11.1,11.1,"62,403","62,368","62,438","5,504","5,504","5,504",74.77,74.77,74.77,"7,361","7,361","7,361",POINT (-119.662127 37.211164)
CT,2020/11/24,"6,053","6,053","6,053",74.03,74.03,74.03,"8,176","8,176","8,176","1,177","1,177","1,177",14.4,14.4,14.4,"8,176","8,176","8,176",623,623,623,59.05,59.05,59.05,"1,055","1,055","1,055",POINT (-72.738288 41.575155)
DC,2020/11/24,"2,321","2,321","2,321",79.73,79.73,79.73,"2,911","2,911","2,911",234,234,234,8.04,8.04,8.04,"2,911","2,911","2,911",263,263,263,80.43,80.43,80.43,327,327,327,POINT (-77.016275 38.904785)
GA,2020/11/24,"14,677","14,677","14,677",77.64,77.64,77.64,"18,905","18,905","18,905","2,293","2,293","2,293",12.13,12.13,12.13,"18,905","18,905","18,905","2,175","2,175","2,175",82.45,82.45,82.45,"2,638","2,638","2,638",POINT (-83.426574 32.638481)
ID,2020/11/24,"1,882","1,882","1,882",60.77,60.77,60.77,"3,097","3,097","3,097",449,449,449,14.5,14.5,14.5,"3,097","3,097","3,097",208,208,208,72.73,72.73,72.73,286,286,286,POINT (-114.659366 44.389073)
IN,2020/11/24,"11,251","11,251","11,251",68.02,68.02,68.02,"16,540","16,540","16,540","3,340","3,339","3,340",20.19,20.19,20.19,"16,540","16,540","16,540","1,711","1,711","1,711",78.49,78.49,78.49,"2,180","2,180","2,180",POINT (-86.2818 39.919991)
KS,2020/11/24,"4,614","4,610","4,618",61.3,60.98,61.62,"7,527","7,513","7,541","1,202","1,201","1,204",15.98,15.81,16.14,"7,527","7,513","7,541",630,630,630,78.46,78.46,78.46,803,802,804,POINT (-98.38018 38.484729)
LA,2020/11/24,"8,506","8,506","8,506",67.11,67.11,67.11,"12,675","12,675","12,675",960,960,960,7.71,7.71,7.71,"12,675","12,675","12,675","1,309","1,309","1,309",72.72,72.72,72.72,"1,800","1,800","1,800",POINT (-91.840238 30.921314)
MD,2020/11/24,"8,310","8,220","8,400",82.27,79.63,84.9,"10,102","10,003","10,200","1,796","1,779","1,813",17.78,16.65,18.91,"10,102","10,003","10,200","1,066","1,059","1,074",80.8,79.23,82.36,"1,320","1,312","1,328",POINT (-76.687282 38.946466)
MI,2020/11/24,"17,228","17,226","17,229",79.54,79.43,79.66,"21,658","21,644","21,672","4,156","4,156","4,156",19.19,19.13,19.25,"21,658","21,644","21,672","2,250","2,250","2,250",84.02,84.02,84.02,"2,678","2,678","2,678",POINT (-85.730977 44.874798)
AL,2020/11/25,"10,471","10,471","10,471",73.88,73.88,73.88,"14,173","14,173","14,173","1,589","1,589","1,589",11.21,11.21,11.21,"14,173","14,173","14,173","1,296","1,296","1,296",85.94,85.94,85.94,"1,508","1,508","1,508",POINT (-86.844516 32.756889)
