state,collection_date,Inpatient Beds Occupied Estimated (All Inpatient),Count LL (All Inpatient),Count UL (All Inpatient),Percentage of Inpatient Beds Occupied Estimated (All Inpatient),Percentage LL (All Inpatient),Percentage UL (All Inpatient),Total Inpatient Beds (All Inpatient),Total LL (All Inpatient),Total UL (All Inpatient),Inpatient Beds Occupied by COVID-19 Patients Estimated (COVID-19 Inpatient),Count LL (COVID-19 Inpatient),Count UL (COVID-19 Inpatient),Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated (COVID-19 Inpatient),Percentage LL (COVID-19 Inpatient),Percentage UL (COVID-19 Inpatient),Total Inpatient Beds (COVID-19 Inpatient),Total LL (COVID-19 Inpatient),Total UL (COVID-19 Inpatient),Staffed Adult ICU Beds Occupied Estimated (ICU),Count LL (ICU),Count UL (ICU),Percentage of Staffed Adult ICU Beds Occupied Estimated (ICU),Percentage LL (ICU),Percentage UL (ICU),Total Staffed Adult ICU Beds (ICU),Total LL (ICU),Total UL (ICU),geocoded_state
AK,2020/11/12,946,946,946,65.97,65.97,65.97,"1,434","1,434","1,434",123,123,123,8.58,8.58,8.58,"1,434","1,434","1,434",78,78,78,56.52,56.52,56.52,138,138,138,POINT (-151.631889 63.631126)
AR,2020/11/12,"5,539","5,520","5,558",65.87,65.08,66.66,"8,409","8,379","8,439",861,848,874,10.24,9.24,11.23,"8,409","8,379","8,439",765,760,770,72.17,70.09,74.25,"1,060","1,049","1,071",POINT (-92.439162 34.899825)
CO,2020/11/12,"7,089","7,073","7,105",70.42,70.42,70.42,"10,067","10,067","10,067","1,324","1,324","1,324",13.15,13.15,13.15,"10,067","10,067","10,067",993,993,993,75,75,75,"1,324","1,324","1,324",POINT (-105.547832 38.998552)
DE,2020/11/12,"1,772","1,772","1,772",71.05,71.05,71.05,"2,494","2,494","2,494",180,180,180,7.22,7.22,7.22,"2,494","2,494","2,494",152,152,152,87.36,87.36,87.36,174,174,174,POINT (-75.452394 38.994926)
FL,2020/11/12,"40,636","40,533","40,739",78.39,77.63,79.16,"51,835","51,656","52,014","4,150","4,126","4,174",8.17,7.78,8.56,"51,835","51,656","52,014","4,956","4,945","4,967",78.75,78.04,79.47,"6,293","6,271","6,315",POINT (-82.420978 28.260731)
HI,2020/11/12,"1,761","1,747","1,775",70.54,68.84,72.23,"2,481","2,452","2,510",73,73,73,2.94,2.71,3.18,"2,481","2,452","2,510",143,143,143,61.11,61.11,61.11,234,234,234,POINT (-157.854309 21.361013)
IA,2020/11/12,"5,325","5,325","5,325",67.8,67.8,67.8,"7,854","7,854","7,854","1,252","1,252","1,252",16.14,16.14,16.14,"7,854","7,854","7,854",568,568,568,83.41,83.41,83.41,681,681,681,POINT (-93.500061 42.074659)
IL,2020/11/12,"21,102","20,971","21,233",70.5,68.99,72,"29,933","29,739","30,127","5,504","5,468","5,540",18.39,17.6,19.17,"29,933","29,739","30,127","2,454","2,430","2,478",64.96,63.22,66.69,"3,778","3,762","3,794",POINT (-89.148632 40.124144)
KY,2020/11/12,"8,699","8,699","8,699",73.4,73.4,73.4,"11,852","11,852","11,852","1,388","1,388","1,388",11.71,11.71,11.71,"11,852","11,852","11,852","1,170","1,170","1,170",76.62,76.62,76.62,"1,527","1,527","1,527",POINT (-85.290484 37.526683)
MA,2020/11/12,"12,176","12,176","12,176",69.89,69.89,69.89,"17,422","17,422","17,422",683,678,688,3.92,3.92,3.92,"17,422","17,422","17,422","1,026","1,026","1,026",53.63,53.63,53.63,"1,913","1,913","1,913",POINT (-71.481104 42.151077)
ME,2020/11/12,"1,961","1,961","1,961",69.02,69.02,69.02,"2,841","2,841","2,841",97,97,97,3.41,3.41,3.41,"2,841","2,841","2,841",238,238,238,73.46,73.46,73.46,324,324,324,POINT (-69.06137 45.117911)
MN,2020/11/12,"8,187","8,187","8,187",74.69,74.69,74.69,"10,962","10,962","10,962","1,605","1,600","1,610",14.64,14.64,14.64,"10,962","10,962","10,962",794,794,794,80.77,80.77,80.77,983,983,983,POINT (-94.198308 46.349153)
MO,2020/11/12,"11,692","11,692","11,692",66.75,66.75,66.75,"17,516","17,516","17,516","2,399","2,399","2,399",13.7,13.7,13.7,"17,516","17,516","17,516","1,543","1,543","1,543",79.37,79.37,79.37,"1,944","1,944","1,944",POINT (-92.477244 38.3675)
MS,2020/11/12,"5,407","5,407","5,407",67.13,67.13,67.13,"8,054","8,054","8,054",745,745,745,9.25,9.25,9.25,"8,054","8,054","8,054",714,714,714,79.87,79.87,79.87,894,894,894,POINT (-89.65344 32.713378)
MT,2020/11/12,"1,997","1,994","2,000",69.63,69.06,70.2,"2,868","2,859","2,877",429,428,430,14.96,14.63,15.28,"2,868","2,859","2,877",176,176,176,77.19,77.19,77.19,228,228,228,POINT (-109.645127 47.033521)
ND,2020/11/12,"1,629","1,629","1,629",79.74,79.74,79.74,"2,043","2,043","2,043",518,518,518,25.35,25.35,25.35,"2,043","2,043","2,043",133,133,133,95.68,95.68,95.68,139,139,139,POINT (-100.46931 47.446305)
NH,2020/11/12,"1,999","1,999","1,999",68.65,68.65,68.65,"2,912","2,912","2,912",104,104,104,3.57,3.57,3.57,"2,912","2,912","2,912",175,175,175,62.06,62.06,62.06,282,282,282,POINT (-71.57139 43.680429)
NJ,2020/11/12,"14,690","14,690","14,690",75.93,75.93,75.93,"19,346","19,346","19,346","1,968","1,968","1,968",10.17,10.17,10.17,"19,346","19,346","19,346","1,451","1,451","1,451",65.15,65.15,65.15,"2,227","2,227","2,227",POINT (-74.655514 40.110253)
NV,2020/11/12,"5,688","5,688","5,688",77.67,77.67,77.67,"7,323","7,323","7,323",976,962,990,13.64,13.64,13.64,"7,323","7,323","7,323",682,682,682,79.03,79.03,79.03,863,863,863,POINT (-114.916992 39.283294)
NY,2020/11/12,"41,173","41,041","41,305",76.11,75.29,76.94,"54,096","53,908","54,284","3,224","3,202","3,246",5.96,5.58,6.34,"54,096","53,908","54,284","4,227","4,213","4,241",61.94,61.2,62.69,"6,824","6,801","6,847",POINT (-75.59655 42.921241)
OK,2020/11/12,"7,235","7,227","7,243",69.42,68.95,69.89,"10,422","10,391","10,453","1,193","1,190","1,196",11.74,11.49,11.99,"10,422","10,391","10,453",893,891,895,76.59,75.99,77.18,"1,166","1,163","1,169",POINT (-97.508297 35.583449)
PA,2020/11/12,"25,095","25,095","25,095",77.94,77.93,77.96,"32,196","32,194","32,198","2,984","2,977","2,991",9.36,9.22,9.5,"32,196","32,194","32,198","3,159","3,159","3,159",81.52,81.52,81.52,"3,875","3,875","3,875",POINT (-77.838886 40.896694)
SC,2020/11/12,"7,922","7,922","7,922",79.66,79.66,79.66,"9,945","9,945","9,945",719,719,719,7.23,7.23,7.23,"9,945","9,945","9,945",950,950,950,74.98,74.98,74.98,"1,267","1,267","1,267",POINT (-80.864614 33.878572)
TN,2020/11/12,"12,831","12,809","12,853",77.44,77.02,77.85,"16,570","16,544","16,596","1,933","1,933","1,933",12.02,12.02,12.02,"16,570","16,544","16,596","1,819","1,816","1,822",80.7,80.25,81.15,"2,254","2,250","2,258",POINT (-86.343226 35.842998)
UT,2020/11/12,"3,214","3,214","3,214",61.59,61.59,61.59,"5,218","5,218","5,218",493,493,493,9.45,9.45,9.45,"5,218","5,218","5,218",464,464,464,74.84,74.84,74.84,620,620,620,POINT (-111.678222 39.323779)
VA,2020/11/12,"12,109","12,109","12,109",70.91,70.91,70.91,"17,077","17,077","17,077","1,285","1,285","1,285",7.52,7.52,7.52,"17,077","17,077","17,077","1,381","1,381","1,381",68.16,68.16,68.16,"2,026","2,026","2,026",POINT (-78.666382 37.510861)
AK,2020/11/13,930,930,930,64.9,64.9,64.9,"1,433","1,433","1,433",122,122,122,8.51,8.51,8.51,"1,433","1,433","1,433",101,101,101,72.14,72.14,72.14,140,140,140,POINT (-151.631889 63.631126)
AR,2020/11/13,"5,534","5,534","5,534",66.35,66.35,66.35,"8,340","8,340","8,340",894,883,905,10.72,10.72,10.72,"8,340","8,340","8,340",741,741,741,73.08,73.08,73.08,"1,014","1,014","1,014",POINT (-92.439162 34.899825)
CO,2020/11/13,"6,830","6,815","6,845",68.03,68.03,68.03,"10,040","10,040","10,040","1,332","1,332","1,332",13.27,13.27,13.27,"10,040","10,040","10,040",929,929,929,72.3,72.3,72.3,"1,285","1,285","1,285",POINT (-105.547832 38.998552)
DE,2020/11/13,"1,768","1,768","1,768",71.26,71.26,71.26,"2,481","2,481","2,481",179,179,179,7.21,7.21,7.21,"2,481","2,481","2,481",150,150,150,86.21,86.21,86.21,174,174,174,POINT (-75.452394 38.994926)
FL,2020/11/13,"40,662","40,617","40,707",78.41,78.07,78.75,"51,856","51,775","51,937","4,244","4,223","4,265",8.35,8.05,8.66,"51,856","51,775","51,937","4,964","4,962","4,966",79.07,78.92,79.22,"6,278","6,274","6,282",POINT (-82.420978 28.260731)
HI,2020/11/13,"1,713","1,694","1,732",68.62,66.34,70.89,"2,479","2,448","2,510",82,82,83,3.33,2.95,3.7,"2,479","2,448","2,510",146,146,146,61.6,61.6,61.6,237,237,237,POINT (-157.854309 21.361013)
IA,2020/11/13,"5,282","5,282","5,282",67.31,67.31,67.31,"7,847","7,847","7,847","1,275","1,274","1,276",16.45,16.45,16.45,"7,847","7,847","7,847",556,553,558,81.81,81.81,81.81,679,679,679,POINT (-93.500061 42.074659)
IL,2020/11/13,"20,774","20,726","20,821",69.44,68.97,69.92,"29,914","29,861","29,967","5,340","5,319","5,361",17.85,17.49,18.21,"29,914","29,861","29,967","2,437","2,415","2,459",64.51,63.03,65.99,"3,778","3,769","3,787",POINT (-89.148632 40.124144)
KY,2020/11/13,"8,716","8,686","8,746",73.52,72.81,74.22,"11,856","11,829","11,883","1,402","1,392","1,412",11.83,11.31,12.34,"11,856","11,829","11,883","1,171","1,171","1,171",76.59,76.59,76.59,"1,529","1,529","1,529",POINT (-85.290484 37.526683)
MA,2020/11/13,"12,115","12,115","12,115",69.48,69.48,69.48,"17,437","17,437","17,437",738,733,743,4.23,4.23,4.23,"17,437","17,437","17,437","1,028","1,028","1,028",53.74,53.74,53.74,"1,913","1,913","1,913",POINT (-71.481104 42.151077)
ME,2020/11/13,"1,941","1,941","1,941",69.15,69.15,69.15,"2,807","2,807","2,807",93,93,93,3.31,3.31,3.31,"2,807","2,807","2,807",235,235,235,73.44,73.44,73.44,320,320,320,POINT (-69.06137 45.117911)
MN,2020/11/13,"8,124","8,113","8,134",75.77,75.34,76.21,"10,721","10,698","10,744","1,662","1,656","1,667",15.5,15.19,15.8,"10,721","10,698","10,744",781,779,783,80.1,79.5,80.7,975,973,977,POINT (-94.198308 46.349153)
MO,2020/11/13,"11,558","11,558","11,558",66.28,66.28,66.28,"17,437","17,437","17,437","2,459","2,458","2,460",14.1,14.1,14.1,"17,437","17,437","17,437","1,537","1,537","1,537",78.7,78.7,78.7,"1,953","1,953","1,953",POINT (-92.477244 38.3675)
MS,2020/11/13,"5,231","5,230","5,233",65.33,65.14,65.53,"8,007","7,998","8,016",734,729,738,9.16,8.76,9.56,"8,007","7,998","8,016",674,672,675,79.14,78.8,79.48,851,851,851,POINT (-89.65344 32.713378)
MT,2020/11/13,"1,966","1,964","1,967",69.26,69.26,69.26,"2,838","2,838","2,838",454,453,455,16,16,16,"2,838","2,838","2,838",177,177,177,75.64,75.64,75.64,234,234,234,POINT (-109.645127 47.033521)
ND,2020/11/13,"1,628","1,628","1,628",81.36,81.36,81.36,"2,001","2,001","2,001",518,518,518,25.89,25.89,25.89,"2,001","2,001","2,001",118,118,118,87.41,87.41,87.41,135,135,135,POINT (-100.46931 47.446305)
NH,2020/11/13,"1,994","1,994","1,994",68.5,68.5,68.5,"2,911","2,911","2,911",95,95,95,3.26,3.26,3.26,"2,911","2,911","2,911",168,167,168,59.4,59.4,59.4,282,282,282,POINT (-71.57139 43.680429)
NJ,2020/11/13,"14,486","14,486","14,486",74.65,74.65,74.65,"19,404","19,404","19,404","2,076","2,076","2,076",10.7,10.7,10.7,"19,404","19,404","19,404","1,466","1,466","1,466",65.39,65.39,65.39,"2,242","2,242","2,242",POINT (-74.655514 40.110253)
NV,2020/11/13,"5,686","5,686","5,686",77.58,77.58,77.58,"7,329","7,329","7,329",992,978,"1,005",13.85,13.85,13.85,"7,329","7,329","7,329",698,698,698,81.16,81.16,81.16,860,860,860,POINT (-114.916992 39.283294)
NY,2020/11/13,"40,519","40,512","40,526",74.65,74.62,74.69,"54,276","54,269","54,283","3,075","3,066","3,084",5.67,5.53,5.8,"54,276","54,269","54,283","4,136","4,136","4,136",60.7,60.45,60.94,"6,814","6,803","6,825",POINT (-75.59655 42.921241)
OK,2020/11/13,"7,166","7,130","7,203",69.02,67.77,70.27,"10,383","10,323","10,442","1,203","1,195","1,211",11.88,11.26,12.49,"10,383","10,323","10,442",890,883,898,76.76,74.86,78.66,"1,160","1,152","1,168",POINT (-97.508297 35.583449)
PA,2020/11/13,"24,693","24,666","24,721",76.84,76.47,77.22,"32,135","32,076","32,194","3,156","3,148","3,164",9.92,9.72,10.11,"32,135","32,076","32,194","3,125","3,123","3,127",80.98,80.75,81.21,"3,859","3,855","3,863",POINT (-77.838886 40.896694)
SC,2020/11/13,"7,762","7,755","7,769",79.96,79.73,80.2,"9,707","9,697","9,717",734,730,739,7.57,7.21,7.92,"9,707","9,697","9,717",940,940,940,74.54,74.54,74.54,"1,261","1,261","1,261",POINT (-80.864614 33.878572)
TN,2020/11/13,"12,508","12,443","12,572",75.71,75.71,75.71,"16,521","16,521","16,521","1,895","1,895","1,895",11.82,11.82,11.82,"16,521","16,521","16,521","1,770","1,759","1,781",79.6,75.91,83.28,"2,224","2,180","2,267",POINT (-86.343226 35.842998)
UT,2020/11/13,"3,211","3,211","3,211",61.51,61.51,61.51,"5,220","5,220","5,220",497,497,497,9.52,9.52,9.52,"5,220","5,220","5,220",458,458,458,73.87,73.87,73.87,620,620,620,POINT (-111.678222 39.323779)
VA,2020/11/13,"11,955","11,955","11,955",70.02,70.02,70.02,"17,073","17,073","17,073","1,262","1,262","1,262",7.39,7.39,7.39,"17,073","17,073","17,073","1,391","1,391","1,391",68.69,68.69,68.69,"2,025","2,025","2,025",POINT (-78.666382 37.510861)
AK,2020/11/14,924,924,924,64.48,64.48,64.48,"1,433","1,433","1,433",143,143,143,9.98,9.98,9.98,"1,433","1,433","1,433",108,108,108,78.26,78.26,78.26,138,138,138,POINT (-151.631889 63.631126)
AR,2020/11/14,"5,381","5,245","5,516",64.87,60.69,69.06,"8,294","8,241","8,347",868,856,880,10.47,9.49,11.44,"8,294","8,241","8,347",749,719,779,75.05,68.04,82.06,998,994,"1,002",POINT (-92.439162 34.899825)
CO,2020/11/14,"6,619","6,603","6,634",65.86,65.23,66.5,"10,049","10,017","10,081","1,352","1,350","1,354",13.45,13.19,13.71,"10,049","10,017","10,081",944,943,944,73.38,72.72,74.05,"1,286","1,281","1,291",POINT (-105.547832 38.998552)
DE,2020/11/14,"1,713","1,713","1,713",68.82,68.82,68.82,"2,489","2,489","2,489",180,180,180,7.23,7.23,7.23,"2,489","2,489","2,489",144,144,144,82.76,82.76,82.76,174,174,174,POINT (-75.452394 38.994926)
FL,2020/11/14,"39,232","39,089","39,375",75.97,75,76.93,"51,644","51,430","51,858","4,191","4,168","4,214",8.29,7.89,8.68,"51,644","51,430","51,858","4,751","4,740","4,763",75.84,75.02,76.65,"6,265","6,240","6,290",POINT (-82.420978 28.260731)
HI,2020/11/14,"1,692","1,634","1,750",67.77,59.81,75.72,"2,482","2,395","2,569",93,91,94,3.74,2.28,5.2,"2,482","2,395","2,569",143,138,147,59.94,54.01,65.88,238,233,243,POINT (-157.854309 21.361013)
IA,2020/11/14,"5,050","5,050","5,050",64.3,64.3,64.3,"7,854","7,854","7,854","1,282","1,281","1,284",16.53,16.53,16.53,"7,854","7,854","7,854",560,560,560,82.6,82.6,82.6,678,678,678,POINT (-93.500061 42.074659)
IL,2020/11/14,"20,222","20,089","20,355",67.84,66.41,69.27,"29,809","29,641","29,977","5,539","5,498","5,580",18.58,17.78,19.38,"29,809","29,641","29,977","2,416","2,394","2,438",64.05,62.39,65.7,"3,772","3,754","3,791",POINT (-89.148632 40.124144)
KY,2020/11/14,"8,602","8,602","8,602",72.57,72.57,72.57,"11,853","11,853","11,853","1,410","1,397","1,422",11.89,11.89,11.89,"11,853","11,853","11,853","1,185","1,185","1,185",77.45,77.45,77.45,"1,530","1,530","1,530",POINT (-85.290484 37.526683)
MA,2020/11/14,"11,741","11,741","11,741",67.39,67.39,67.39,"17,422","17,422","17,422",750,745,755,4.3,4.3,4.3,"17,422","17,422","17,422","1,024","1,024","1,024",53.53,53.53,53.53,"1,913","1,913","1,913",POINT (-71.481104 42.151077)
ME,2020/11/14,"1,883","1,883","1,883",67.15,67.15,67.15,"2,804","2,804","2,804",88,88,89,3.16,3.16,3.16,"2,804","2,804","2,804",226,226,226,69.97,69.97,69.97,323,323,323,POINT (-69.06137 45.117911)
MN,2020/11/14,"7,770","7,770","7,770",73.2,73.2,73.2,"10,615","10,615","10,615","1,687","1,683","1,691",15.89,15.89,15.89,"10,615","10,615","10,615",784,784,784,80.25,80.25,80.25,977,977,977,POINT (-94.198308 46.349153)
MO,2020/11/14,"11,179","11,179","11,179",64.79,64.79,64.79,"17,254","17,254","17,254","2,410","2,410","2,410",13.97,13.97,13.97,"17,254","17,254","17,254","1,495","1,495","1,495",76.59,76.59,76.59,"1,952","1,952","1,952",POINT (-92.477244 38.3675)
MS,2020/11/14,"4,999","4,985","5,013",62.7,62.01,63.38,"7,974","7,947","8,000",729,728,731,9.15,8.92,9.37,"7,974","7,947","8,000",665,659,671,78.24,76.18,80.29,850,844,856,POINT (-89.65344 32.713378)
MT,2020/11/14,"1,968","1,956","1,981",69.58,67.97,71.19,"2,829","2,808","2,850",479,479,479,16.93,16.33,17.53,"2,829","2,808","2,850",172,172,172,75.11,75.11,75.11,229,229,229,POINT (-109.645127 47.033521)
ND,2020/11/14,"1,532","1,526","1,539",77.54,76.58,78.49,"1,976","1,969","1,984",485,483,487,24.54,24.03,25.05,"1,976","1,969","1,984",117,117,117,90.7,90.7,90.7,129,129,129,POINT (-100.46931 47.446305)
NH,2020/11/14,"1,877","1,877","1,877",64.52,64.52,64.52,"2,909","2,909","2,909",85,85,85,2.92,2.92,2.92,"2,909","2,909","2,909",154,154,154,54.61,54.61,54.61,282,282,282,POINT (-71.57139 43.680429)
NJ,2020/11/14,"13,760","13,760","13,760",72.02,72.02,72.02,"19,107","19,107","19,107","2,096","2,091","2,101",10.97,10.97,10.97,"19,107","19,107","19,107","1,441","1,405","1,476",65.01,58.9,71.12,"2,216","2,152","2,280",POINT (-74.655514 40.110253)
NV,2020/11/14,"5,666","5,630","5,702",77.38,75.67,79.1,"7,322","7,268","7,376","1,064","1,062","1,066",14.87,14.27,15.47,"7,322","7,268","7,376",700,699,701,81.21,77.39,85.03,862,844,880,POINT (-114.916992 39.283294)
NY,2020/11/14,"38,611","38,472","38,749",71.53,70.7,72.36,"53,979","53,797","54,161","3,102","3,080","3,124",5.75,5.37,6.12,"53,979","53,797","54,161","4,108","4,093","4,123",60.34,59.55,61.13,"6,808","6,784","6,832",POINT (-75.59655 42.921241)
OK,2020/11/14,"6,776","6,728","6,823",65.94,64.15,67.72,"10,276","10,188","10,363","1,228","1,215","1,241",12.26,11.28,13.23,"10,276","10,188","10,363",890,882,898,76.82,74.74,78.9,"1,158","1,149","1,168",POINT (-97.508297 35.583449)
PA,2020/11/14,"23,898","23,830","23,966",74.55,73.7,75.4,"32,056","31,927","32,184","3,232","3,212","3,253",10.18,9.7,10.66,"32,056","31,927","32,184","3,078","3,070","3,086",79.5,78.83,80.16,"3,872","3,862","3,882",POINT (-77.838886 40.896694)
SC,2020/11/14,"7,380","7,318","7,443",76.16,74.18,78.14,"9,691","9,619","9,763",709,698,720,7.32,6.4,8.23,"9,691","9,619","9,763",938,930,947,74.48,72.48,76.49,"1,260","1,250","1,270",POINT (-80.864614 33.878572)
TN,2020/11/14,"12,141","12,141","12,141",73.52,73.52,73.52,"16,513","16,513","16,513","1,896","1,896","1,896",11.83,11.83,11.83,"16,513","16,513","16,513","1,779","1,779","1,779",78.81,78.81,78.81,"2,257","2,203","2,312",POINT (-86.343226 35.842998)
UT,2020/11/14,"3,040","3,040","3,040",58.23,58.23,58.23,"5,221","5,221","5,221",496,496,496,9.5,9.5,9.5,"5,221","5,221","5,221",453,453,453,73.06,73.06,73.06,620,620,620,POINT (-111.678222 39.323779)
VA,2020/11/14,"11,172","11,162","11,181",65.41,65.01,65.82,"17,078","17,038","17,118","1,230","1,227","1,232",7.2,7.03,7.37,"17,078","17,038","17,118","1,314","1,312","1,315",64.93,64.5,65.36,"2,023","2,018","2,028",POINT (-78.666382 37.510861)
AK,2020/11/15,887,887,887,62.33,62.33,62.33,"1,423","1,423","1,423",145,145,145,10.19,10.19,10.19,"1,423","1,423","1,423",95,95,95,73.64,73.64,73.64,129,129,129,POINT (-151.631889 63.631126)
AR,2020/11/15,"5,103","5,090","5,116",61.9,61.22,62.57,"8,245","8,216","8,274",888,876,901,10.78,9.82,11.73,"8,245","8,216","8,274",737,736,738,74,73.68,74.31,996,995,997,POINT (-92.439162 34.899825)
CO,2020/11/15,"6,425","6,412","6,438",63.83,63.38,64.29,"10,065","10,046","10,084","1,387","1,385","1,389",13.78,13.6,13.97,"10,065","10,046","10,084",916,915,917,70.96,70.17,71.75,"1,290","1,284","1,296",POINT (-105.547832 38.998552)
DE,2020/11/15,"1,676","1,676","1,676",68.07,68.07,68.07,"2,462","2,462","2,462",186,186,186,7.55,7.55,7.55,"2,462","2,462","2,462",151,151,151,86.78,86.78,86.78,174,174,174,POINT (-75.452394 38.994926)
FL,2020/11/15,"37,914","37,781","38,047",73.74,72.83,74.65,"51,415","51,212","51,618","4,123","4,105","4,142",8.19,7.84,8.54,"51,415","51,212","51,618","4,627","4,612","4,641",73.95,73.08,74.81,"6,257","6,232","6,282",POINT (-82.420978 28.260731)
HI,2020/11/15,"1,720","1,702","1,738",68.97,66.56,71.38,"2,478","2,444","2,512",90,88,91,3.62,2.88,4.35,"2,478","2,444","2,512",136,135,137,58.76,57.17,60.36,232,230,234,POINT (-157.854309 21.361013)
IA,2020/11/15,"5,037","5,037","5,037",63.98,63.98,63.98,"7,873","7,873","7,873","1,381","1,379","1,383",17.78,17.78,17.78,"7,873","7,873","7,873",552,552,552,82.02,82.02,82.02,673,673,673,POINT (-93.500061 42.074659)
IL,2020/11/15,"19,591","19,458","19,724",65.86,64.33,67.39,"29,745","29,550","29,940","5,743","5,701","5,786",19.31,18.44,20.18,"29,745","29,550","29,940","2,354","2,335","2,374",62.31,60.74,63.89,"3,778","3,758","3,799",POINT (-89.148632 40.124144)
KY,2020/11/15,"8,428","8,416","8,441",71.1,71.1,71.1,"11,854","11,854","11,854","1,468","1,458","1,478",12.39,12.39,12.39,"11,854","11,854","11,854","1,176","1,174","1,177",76.83,76.83,76.83,"1,530","1,530","1,530",POINT (-85.290484 37.526683)
MA,2020/11/15,"11,353","11,353","11,353",65.2,65.2,65.2,"17,412","17,412","17,412",798,793,802,4.58,4.58,4.58,"17,412","17,412","17,412",992,992,992,51.77,51.77,51.77,"1,916","1,916","1,916",POINT (-71.481104 42.151077)
ME,2020/11/15,"1,844","1,841","1,846",65.65,64.94,66.36,"2,808","2,796","2,820",84,84,85,3.01,2.86,3.15,"2,808","2,796","2,820",228,227,228,70.65,69.68,71.62,322,321,323,POINT (-69.06137 45.117911)
MN,2020/11/15,"7,656","7,645","7,666",72.83,72.39,73.27,"10,512","10,489","10,535","1,804","1,800","1,809",17.17,16.9,17.44,"10,512","10,489","10,535",767,765,769,79.65,79.65,79.65,963,963,963,POINT (-94.198308 46.349153)
MO,2020/11/15,"10,615","10,615","10,615",62.01,62.01,62.01,"17,117","17,117","17,117","2,407","2,407","2,407",14.06,14.06,14.06,"17,117","17,117","17,117","1,480","1,480","1,480",75.94,75.94,75.94,"1,949","1,949","1,949",POINT (-92.477244 38.3675)
MS,2020/11/15,"4,874","4,858","4,890",61.06,60.32,61.8,"7,982","7,956","8,009",763,761,764,9.55,9.33,9.78,"7,982","7,956","8,009",660,654,666,78.67,76.56,80.77,839,833,845,POINT (-89.65344 32.713378)
MT,2020/11/15,"1,885","1,877","1,894",67.45,66.17,68.73,"2,795","2,777","2,813",485,484,486,17.35,16.8,17.91,"2,795","2,777","2,813",165,165,165,72.69,72.69,72.69,227,227,227,POINT (-109.645127 47.033521)
ND,2020/11/15,"1,509","1,504","1,514",75.49,74.7,76.28,"1,999","1,992","2,006",490,487,492,24.49,23.9,25.08,"1,999","1,992","2,006",127,127,127,94.07,94.07,94.07,135,135,135,POINT (-100.46931 47.446305)
NH,2020/11/15,"1,783","1,783","1,783",61.31,61.31,61.31,"2,908","2,908","2,908",94,93,95,3.23,3.23,3.23,"2,908","2,908","2,908",143,143,143,50.53,50.53,50.53,283,283,283,POINT (-71.57139 43.680429)
NJ,2020/11/15,"13,333","13,333","13,333",70.37,70.37,70.37,"18,947","18,947","18,947","2,206","2,172","2,239",11.64,11.64,11.64,"18,947","18,947","18,947","1,426","1,386","1,467",63.82,57.18,70.46,"2,235","2,168","2,302",POINT (-74.655514 40.110253)
NV,2020/11/15,"5,615","5,615","5,615",76.43,76.43,76.43,"7,347","7,347","7,347","1,160","1,160","1,160",16.16,16.16,16.16,"7,347","7,347","7,347",697,697,697,80.02,80.02,80.02,871,871,871,POINT (-114.916992 39.283294)
NY,2020/11/15,"37,953","37,832","38,074",70.52,69.79,71.25,"53,819","53,662","53,977","3,122","3,102","3,143",5.8,5.45,6.15,"53,819","53,662","53,977","3,981","3,966","3,996",58.46,57.69,59.22,"6,810","6,787","6,833",POINT (-75.59655 42.921241)
OK,2020/11/15,"6,541","6,512","6,571",63.93,62.89,64.97,"10,232","10,181","10,283","1,247","1,239","1,255",12.5,11.95,13.05,"10,232","10,181","10,283",876,872,880,75.72,74.55,76.88,"1,157","1,152","1,163",POINT (-97.508297 35.583449)
PA,2020/11/15,"23,050","22,985","23,116",72.13,71.31,72.94,"31,957","31,834","32,080","3,345","3,326","3,364",10.57,10.12,11.02,"31,957","31,834","32,080","3,032","3,025","3,039",78.9,78.27,79.52,"3,843","3,833","3,853",POINT (-77.838886 40.896694)
SC,2020/11/15,"7,196","7,196","7,196",74.55,74.55,74.55,"9,653","9,653","9,653",726,724,727,7.52,7.52,7.52,"9,653","9,653","9,653",914,913,916,72.29,72.29,72.29,"1,265","1,265","1,265",POINT (-80.864614 33.878572)
TN,2020/11/15,"11,900","11,900","11,900",72.2,72.2,72.2,"16,483","16,397","16,569","1,952","1,952","1,952",12.2,11.83,12.58,"16,483","16,397","16,569","1,735","1,735","1,735",76.9,76.9,76.9,"2,256","2,196","2,316",POINT (-86.343226 35.842998)
UT,2020/11/15,"2,838","2,829","2,847",54.35,53.76,54.94,"5,222","5,208","5,236",505,505,505,9.67,9.5,9.84,"5,222","5,208","5,236",451,450,452,72.74,72.34,73.14,620,620,620,POINT (-111.678222 39.323779)
VA,2020/11/15,"10,968","10,968","10,968",64.13,64.13,64.13,"17,103","17,103","17,103","1,269","1,268","1,270",7.42,7.42,7.42,"17,103","17,103","17,103","1,306","1,306","1,306",64.59,64.59,64.59,"2,022","2,022","2,022",POINT (-78.666382 37.510861)
AK,2020/11/16,862,860,864,60.96,60.96,60.96,"1,414","1,414","1,414",138,138,138,9.76,9.76,9.76,"1,414","1,414","1,414",90,90,90,67.67,67.67,67.67,133,133,133,POINT (-151.631889 63.631126)
